gender,race,years_experience,education,education_num,skill_score,interview_score,base_score,penalty,hire
Male,White,9.0,HS,0,57.9,100.0,81.16,0.0,1
Female,White,5.9,Bachelors,1,66.6,80.9,70.80000000000001,-2.0,0
Female,Asian,3.2,Bachelors,1,54.3,75.0,58.12,-2.0,1
Female,White,6.4,Bachelors,1,96.8,67.2,78.39999999999999,-2.0,1
Male,White,3.6,Bachelors,1,95.2,64.6,71.12,0.0,1
Male,Hispanic,2.9,HS,0,56.7,68.4,55.84,0.0,0
Male,White,1.5,Masters,2,72.2,73.5,61.28,0.0,0
Female,Hispanic,0.0,Masters,2,59.8,47.4,42.88,-2.0,0
Female,White,3.8,Bachelors,1,79.2,51.2,59.76000000000001,-2.0,1
Female,White,5.5,HS,0,77.6,62.4,67.0,-2.0,1
Male,White,4.7,Masters,2,82.2,72.5,71.28,0.0,1
Female,White,3.8,PhD,3,75.0,67.1,64.44,-2.0,0
Female,Asian,2.2,Bachelors,1,100.0,87.7,79.48000000000002,-2.0,1
Male,White,6.8,Bachelors,1,54.6,52.2,56.32000000000001,0.0,0
Male,White,1.0,Bachelors,1,44.3,61.0,44.120000000000005,0.0,0
Male,White,7.3,Bachelors,1,64.1,88.2,75.52000000000001,0.0,0
Male,White,2.0,Bachelors,1,46.5,71.6,51.24,0.0,0
Female,Hispanic,2.7,Bachelors,1,47.6,80.6,56.68,-2.0,0
Male,White,0.6,Bachelors,1,55.0,94.6,61.04,0.0,0
Male,Black,3.5,Bachelors,1,56.2,61.7,54.16000000000001,-5.0,0
Female,Asian,7.9,Bachelors,1,55.7,68.8,65.6,-2.0,0
Male,Black,6.5,Bachelors,1,77.8,66.7,70.80000000000001,-5.0,0
Male,Asian,7.9,Bachelors,1,62.4,46.5,59.36,0.0,0
Male,White,6.6,HS,0,67.3,66.3,66.64,0.0,1
Male,White,1.7,HS,0,83.4,80.6,69.00000000000001,0.0,0
Female,White,4.0,Masters,2,58.5,76.5,62.0,-2.0,0
Male,Black,2.7,HS,0,66.0,77.4,62.760000000000005,-5.0,0
Female,Asian,9.0,Masters,2,75.5,65.5,74.4,-2.0,0
Female,White,1.4,Masters,2,40.9,62.1,44.0,-2.0,0
Male,Black,7.7,Bachelors,1,34.2,85.2,63.160000000000004,-5.0,0
Female,White,7.7,Bachelors,1,75.2,64.0,71.08000000000001,-2.0,0
Male,Black,10.5,Bachelors,1,77.4,73.5,81.36000000000001,-5.0,0
Male,White,3.8,Masters,2,100.0,72.0,76.39999999999999,0.0,1
Female,Asian,7.1,Masters,2,72.4,87.5,78.16000000000001,-2.0,1
Female,Black,11.8,Masters,2,82.3,81.7,89.19999999999999,-7.0,1
Female,White,3.1,HS,0,67.1,54.5,54.84,-2.0,0
Male,White,0.4,Bachelors,1,74.5,55.7,52.879999999999995,0.0,0
Male,White,0.0,Bachelors,1,95.0,76.9,68.76,0.0,0
Female,White,7.1,Bachelors,1,38.1,69.2,57.120000000000005,-2.0,1
Male,White,0.0,HS,0,76.2,64.5,56.28,0.0,0
Male,Hispanic,3.9,Bachelors,1,100.0,82.2,80.67999999999999,0.0,1
Male,Black,6.3,Masters,2,74.2,72.2,71.16,-5.0,0
Male,White,5.6,Bachelors,1,94.8,70.6,77.36,0.0,1
Female,White,6.3,Bachelors,1,60.6,79.4,68.60000000000001,-2.0,0
Male,Hispanic,5.7,Bachelors,1,69.5,65.5,65.4,0.0,1
Female,Black,8.8,Masters,2,70.5,88.8,81.32000000000001,-7.0,0
Male,White,2.1,Masters,2,36.7,60.5,43.080000000000005,0.0,0
Female,Black,3.0,Bachelors,1,52.5,77.9,58.160000000000004,-7.0,0
Female,White,2.7,HS,0,53.5,87.2,61.68,-2.0,0
Male,White,7.5,Bachelors,1,82.3,53.5,69.32000000000001,0.0,1
Female,White,7.7,Masters,2,83.1,65.9,75.00000000000001,-2.0,0
Female,White,6.4,Bachelors,1,74.9,83.7,76.24000000000001,-2.0,0
Female,White,8.6,Bachelors,1,82.4,83.9,83.72000000000001,-2.0,1
Female,Asian,1.5,Bachelors,1,67.5,67.9,57.160000000000004,-2.0,0
Female,Hispanic,10.0,Bachelors,1,88.0,61.2,79.68,-2.0,1
Female,Black,9.6,Masters,2,70.1,81.5,79.84,-7.0,0
